"id" "group" "trial" "blockNumber" "retroCueCond" "duration" "deviation" "recallError" "attentionRating" "ratingRT" "Rating" "Cue"
"7572" "before" 40 "4" 0 980 61 61 6 1140 "Before Test" "None"
"7572" "before" 42 "2" -1 1435 7 7 8 923 "Before Test" "Invalid"
"7572" "before" 43 "1" 1 856 61 61 5 1148 "Before Test" "Valid"
"7572" "before" 46 "2" 0 831 75 75 7 990 "Before Test" "None"
"7572" "before" 46 "3" 1 1428 5 5 7 1046 "Before Test" "Valid"
"7572" "before" 47 "1" 0 1460 10 10 7 1221 "Before Test" "None"
"7572" "before" 47 "3" 1 3545 78 78 8 2009 "Before Test" "Valid"
"7572" "before" 49 "2" 0 2702 -74 74 7 1009 "Before Test" "None"
"7572" "before" 5 "1" -1 2441 -96 96 6 1364 "Before Test" "Invalid"
"7572" "before" 6 "1" 0 1345 127 127 6 1580 "Before Test" "None"
"7572" "before" 6 "3" 0 954.000000000116 -88 88 8 1091 "Before Test" "None"
"7572" "before" 8 "3" 0 3291 114 114 8 941 "Before Test" "None"
"7574" "before" 0 "3" 0 2105.92799993977 14 14 8 2643.19399988302 "Before Test" "None"
"7574" "before" 0 "4" 1 2798.95300009986 -27 27 8 3270.65000010864 "Before Test" "Valid"
"7574" "before" 1 "4" 1 3998.43800007598 -19 19 9 2254.19900001283 "Before Test" "Valid"
"7574" "before" 13 "2" 1 2157.91799995652 -25 25 8 3625.25499999698 "Before Test" "Valid"
"7574" "before" 13 "4" 0 2560.42499991017 85 85 8 2570.66500001098 "Before Test" "None"
"7574" "before" 15 "2" -1 3017.7179999206 2 2 8 2700.64600000728 "Before Test" "Invalid"
"7574" "before" 19 "1" 0 1976.96799993038 -167 167 9 3007.5849999364 "Before Test" "None"
"7574" "before" 2 "3" 1 2024.66200001072 -89 89 8 1510.44999989378 "Before Test" "Valid"
"7574" "before" 20 "3" 0 2464.55199993844 -58 58 9 2095.2850000998 "Before Test" "None"
"7574" "before" 23 "1" 1 2680.46799996879 -35 35 9 1976.7889998795 "Before Test" "Valid"
"7574" "before" 24 "1" 1 1792.89700000663 -32 32 9 2042.36199998797 "Before Test" "Valid"
"7574" "before" 24 "2" 0 2958.7910000009 77 77 8 2479.02899991721 "Before Test" "None"
"7574" "before" 26 "3" 1 2787.35799989151 -47 47 9 2741.15400001756 "Before Test" "Valid"
"7574" "before" 26 "4" 0 3056.37800006662 135 135 8 2068.89499988547 "Before Test" "None"
"7574" "before" 27 "1" -1 2316.79599999974 -77 77 8 2059.47399992927 "Before Test" "Invalid"
"7574" "before" 27 "2" 0 5014.08400001307 -155 155 8 2285.58799993526 "Before Test" "None"
"7574" "before" 29 "3" -1 2458.45499989577 -142 142 7 1983.36999993585 "Before Test" "Invalid"
"7574" "before" 29 "4" -1 1657.65199993039 25 25 8 1851.88100008992 "Before Test" "Invalid"
"7574" "before" 31 "3" 0 2854.03799993172 -23 23 8 2071.97200004081 "Before Test" "None"
"7574" "before" 32 "2" 0 2830.29799997108 -10 10 8 2337.22099997546 "Before Test" "None"
"7574" "before" 33 "1" 0 2148.75000005472 163 163 8 3950.62199999252 "Before Test" "None"
"7574" "before" 33 "2" 1 2097.70699988771 92 92 6 2858.6139999372 "Before Test" "Valid"
"7574" "before" 34 "3" 1 2034.38599988236 -30 30 8 5637.46100000525 "Before Test" "Valid"
"7574" "before" 35 "1" -1 2206.76500006032 -94 94 9 2851.09499990114 "Before Test" "Invalid"
"7574" "before" 36 "4" 0 3623.139999907 20 20 8 3175.36399992928 "Before Test" "None"
"7574" "before" 37 "3" 0 2957.60700007458 -78 78 8 2003.74399991077 "Before Test" "None"
"7574" "before" 37 "4" 1 2081.92600002093 2 2 7 2067.09100009874 "Before Test" "Valid"
"7574" "before" 38 "2" 0 3663.18299995014 -161 161 8 12039.0309999036 "Before Test" "None"
"7574" "before" 38 "4" -1 1852.56999990903 162 162 6 2360.53199996473 "Before Test" "Invalid"
"7574" "before" 39 "1" 0 2676.88500006823 81 81 9 2405.43899994669 "Before Test" "None"
"7574" "before" 40 "3" 1 1851.12099990807 3 3 8 2794.70499991532 "Before Test" "Valid"
"7574" "before" 41 "4" 1 2335.64199996274 -19 19 7 1978.23700001836 "Before Test" "Valid"
"7574" "before" 42 "2" 1 1945.48399994336 -108 108 7 2113.08099991665 "Before Test" "Valid"
"7574" "before" 43 "4" 0 2488.45799995121 24 24 6 2419.23100006534 "Before Test" "None"
"7574" "before" 48 "2" -1 3890.8680000715 -156 156 8 2411.06899996405 "Before Test" "Invalid"
"7574" "before" 49 "2" 1 2848.20800000289 -72 72 8 2492.35099992505 "Before Test" "Valid"
"7574" "before" 5 "1" 0 4260.19799988327 -76 76 9 2407.15499995544 "Before Test" "None"
"7574" "before" 5 "3" -1 2762.84099997813 108 108 8 2414.13099996652 "Before Test" "Invalid"
"7574" "before" 8 "1" 1 4520.96599995316 -169 169 9 2049.82700009877 "Before Test" "Valid"
"7574" "before" 9 "1" 1 3299.8849999879 -26 26 9 1782.28299990052 "Before Test" "Valid"
"7575" "after" 11 "2" 1 2758.28900000069 9 9 8 1928.7060000007 "After Test" "Valid"
"7575" "after" 12 "2" -1 3102.4600000002 -53 53 6 1701.50500000117 "After Test" "Invalid"
"7575" "after" 13 "1" 1 2944.83800000115 145 145 4 2023.58600000053 "After Test" "Valid"
"7575" "after" 14 "4" 0 1351.54700000212 -7 7 7 1465.03399999882 "After Test" "None"
"7575" "after" 16 "1" -1 1149.17799999996 -118 118 5 1950.46800000116 "After Test" "Invalid"
"7575" "after" 18 "1" 1 2100.52500000119 -159 159 3 1770.17900000099 "After Test" "Valid"
"7575" "after" 19 "1" 1 1883.47000000032 -83 83 6 1824.0950000009 "After Test" "Valid"
"7575" "after" 19 "4" 0 1347.70600000187 -34 34 7 1309.06800000044 "After Test" "None"
"7575" "after" 20 "1" -1 1963.39999999973 163 163 5 1673.42000000051 "After Test" "Invalid"
"7575" "after" 20 "4" 0 1350.74600000144 -64 64 5 1424.10500000068 "After Test" "None"
"7575" "after" 23 "3" 1 1015.8069999991 -9 9 6 1581.76700000186 "After Test" "Valid"
"7575" "after" 24 "4" 1 1213.8489999997 -13 13 8 1248.11900000204 "After Test" "Valid"
"7575" "after" 25 "1" 0 1974.6059999998 6 6 7 1539.93500000064 "After Test" "None"
"7575" "after" 26 "3" 0 1280.3030000017 -175 175 6 1485.22599999956 "After Test" "None"
"7575" "after" 3 "3" 1 1374.6920000012 -31 31 8 1679.55599999952 "After Test" "Valid"
"7575" "after" 30 "1" 1 1623.27500000002 30 30 6 1570.52500000061 "After Test" "Valid"
"7575" "after" 30 "4" 1 1140.09099999955 -26 26 6 1433.11499999976 "After Test" "Valid"
"7575" "after" 31 "4" -1 1410.26700000116 42 42 5 1291.38499999978 "After Test" "Invalid"
